epoch,train_loss,train_accuracy,test_loss,test_accuracy
1,2.3214091943657915,14.166,2.0848431964463825,21.09
2,2.0466479450235586,23.462,2.0014167993883545,24.65
3,1.9428312409564357,28.076,1.8336417433581775,31.6
4,1.7644902662852842,34.69,1.6584399863134456,38.81
5,1.6115065999043263,41.282,1.5236284536651419,44.43
6,1.4922693867207792,46.036,1.4377793828143348,47.51
7,1.4264294430422966,48.274,1.411578439459016,48.35
8,1.3698484293945001,50.538,1.3279626444925237,51.88
9,1.3318710900328654,51.898,1.2780051865155184,53.6
10,1.3005414036533716,53.156,1.280168587648416,52.95
11,1.2631822382397664,54.468,1.2290828348715095,55.62
12,1.2308378250092802,55.964,1.176944707767873,57.44
13,1.2016506318546012,56.902,1.2207828458351424,56.07
14,1.1784200433574978,57.916,1.1932473439204543,56.8
15,1.1540209175375722,58.924,1.1428083143656766,59.21
16,1.123070370510716,59.728,1.1322430757027637,59.77
17,1.1041046763624986,60.296,1.147823133046114,59.49
18,1.077877782342379,61.544,1.093231057818932,61.04
19,1.0605284786590226,62.092,1.0569548637052126,62.21
20,1.0410563188135777,62.596,1.0071150637880157,64.15
21,1.0213416374248008,63.542,0.9961018252976334,64.75
22,1.005851812832191,63.834,1.0018891164019137,64.14
23,0.9833654194231838,64.77,0.9333207335653184,67.11
24,0.972904532461825,65.212,0.9429076306427582,66.82
25,0.9492108106918042,66.174,0.9474349187899239,66.05
26,0.9385807316016663,66.562,0.9847091760816453,65.4
27,0.9179074854192222,67.314,0.9412097749830801,66.91
28,0.9107904417435532,67.482,0.8977085729188556,68.47
29,0.8903089302884953,68.268,0.877163182331037,68.93
30,0.878466848522196,68.758,0.8575092063674444,69.85
31,0.8673114887893657,68.984,0.8929036523722396,68.53
32,0.8526905124144786,69.976,0.8862945641143413,68.54
33,0.8344380158902435,70.262,0.8627084463457518,69.05
34,0.8246743529653915,70.746,0.8360477942454664,70.55
35,0.8154451511705013,70.976,0.8135749456248705,71.57
36,0.8039660883681549,71.446,0.8036048963100095,71.43
37,0.7867438973063399,72.34,0.8336936959737464,70.95
38,0.77998952335104,72.416,0.8313189858122717,70.54
39,0.7663164728742731,72.716,0.8333262869074375,70.61
40,0.7624468169248927,73.046,0.8378453654578969,70.59
41,0.7444957935291788,73.578,0.7881611668610875,72.02
42,0.7323448199140447,74.278,0.7760241793680794,72.85
43,0.7209596195641685,74.52,0.792818239218072,72.42
44,0.7094890816742198,74.71,0.7593791654592827,73.17
45,0.6999688821527964,75.296,0.7818796770482124,72.43
46,0.684453661027162,75.874,0.7372618449639671,73.85
47,0.6733315603050125,75.99,0.7493041633050653,73.9
48,0.6632259484294736,76.352,0.7455267943913424,74.19
49,0.6568306689829473,76.614,0.7920797587950018,72.26
50,0.6415612718943134,77.218,0.7295823998843567,74.44
