epoch,train_loss,train_accuracy,test_loss,test_accuracy
1,2.3024796134675554,14.138,2.0887494147578374,22.02
2,2.0499186683493806,23.432,1.9755141614358636,26.23
3,1.9373590476677547,28.31,1.8150681287427493,33.16
4,1.7142858727813681,36.92,1.5549703021592731,43.32
5,1.5396676941600906,44.252,1.4274778909321073,48.27
6,1.557907794442628,43.116,1.4371751018717318,47.38
7,1.41978575445502,48.442,1.3484062786343731,51.3
8,1.4059840343187533,48.912,1.4291207579117786,48.02
9,1.376207392843788,49.974,1.2584093567691272,54.35
10,1.2949043655639414,53.034,1.247479567044898,54.82
11,1.3279465470472565,52.052,1.2610775850996185,54.6
12,1.254291077404071,54.776,1.196715633325939,56.95
13,1.2285720455981886,55.812,1.2112219054487687,56.53
14,1.2224143943213441,56.022,1.1519808158089844,58.91
15,1.1660624231828753,58.34,1.0977970550331888,60.89
16,1.1871803146798898,57.436,1.153274161906182,58.42
17,1.1408584401430681,59.03,1.0762195428715478,62.2
18,1.1063433652338774,60.546,1.1434265028072308,58.94
19,1.1169406259456254,60.29,1.0538663675513449,62.18
20,1.0594612939278487,62.086,1.0245048826253866,63.29
21,1.0647753237763329,62.354,1.0719156091726278,61.25
22,1.0418346205635753,62.854,0.9816989098923116,65.08
23,0.9958618810719542,64.692,0.9786741688281675,65.25
24,1.0320563258417428,63.354,0.984112474737288,64.74
25,0.9761973595070412,64.996,0.9709290726275384,65.79
26,0.9835210521812634,65.246,0.9744369825230369,65.11
27,0.9605434986636462,65.946,0.9216693066343477,67.19
28,0.9177538595541054,67.6,0.9094677944726581,67.94
29,0.9511795136934657,66.014,0.9269817599767372,67.49
30,0.9084094904572763,67.894,0.878458776051485,68.5
31,0.9026151491552973,67.974,0.9056525773639921,68.04
32,0.8924358673107898,68.278,0.9124997884412355,68.46
33,0.857167853876148,69.652,0.8568846802168255,70.01
34,0.8806407012597984,68.742,0.857219545147087,69.59
35,0.8503083544009177,69.908,0.8460852526411226,69.78
36,0.8341638470244834,70.522,0.9127464392517186,68.29
37,0.8427539836720127,70.282,0.825140923638887,71.14
38,0.8043373374987746,71.482,0.7999723229227187,71.84
39,0.8181196185938843,71.052,0.8154208531862572,71.12
40,0.7992778138431442,71.868,0.8030981134764755,71.88
41,0.7762273703999532,72.714,0.8532180967210214,69.58
42,0.7986223824188837,71.674,0.7841448482078842,72.88
43,0.7619626831520548,72.848,0.7799883220769182,73.18
44,0.7639917639820167,73.032,0.8114914177339289,71.36
45,0.7536534977995831,73.406,0.7508914531031742,73.63
46,0.7190202210108032,74.66,0.7402188800558259,74.15
47,0.7543359208289925,73.298,0.77315656821939,72.51
48,0.7092315239064834,74.808,0.735650788379621,74.07
49,0.7124094008027441,74.686,0.7520959701719163,73.5
50,0.702226919057729,75.108,0.7417455315589905,73.94
51,0.6808855706621009,76.214,0.7272806869277472,74.9
52,0.706460993841786,74.936,0.773409946055352,72.71
53,0.6769671658878131,76.048,0.7431428364560574,73.89
54,0.6680503668230208,76.464,0.7236215464676483,74.54
55,0.6678677504629735,76.488,0.715259090631823,74.79
56,0.6401871054831063,77.332,0.6876876127870777,75.79
57,0.6585381017316638,76.776,0.7040633461143397,75.27
58,0.6291261411383938,77.722,0.6543370689017863,76.9
59,0.6216784471745991,78.174,0.7386153755308706,73.7
60,0.630553076258096,77.614,0.7177000196674203,74.95
61,0.6035860663332293,78.638,0.6657103058658068,76.86
62,0.6162106406200877,78.242,0.7157691219184972,75.15
63,0.5972715626897105,78.934,0.6588750062864038,77.28
64,0.5684741963358486,79.936,0.649844233748279,77.21
65,0.6074823641106296,78.4,0.6928808127022996,75.79
66,0.5639211361670433,79.994,0.632867323824122,78.11
67,0.5721187452830927,79.706,0.6559282926064504,76.76
68,0.560838687679042,80.134,0.63920132004762,77.65
69,0.5344493029367589,81.166,0.6350406261184548,77.89
70,0.5649392224486222,80.034,0.6462745417522479,77.69
71,0.5296893219661225,81.18,0.6320718628696248,77.98
72,0.5321412866225328,81.288,0.6641351614571824,76.93
73,0.5334223965397271,80.924,0.6248872581916519,77.88
74,0.499345877057756,82.348,0.6381700193580193,77.77
75,0.5236285610119705,81.498,0.6293169188348553,78.1
76,0.5001707286633494,82.342,0.6285268509689765,78.06
77,0.4952233929920684,82.352,0.6786304327506053,76.53
78,0.49751880094218437,82.356,0.6272929952114443,78.54
79,0.4660665700045388,83.364,0.6238626087013679,78.83
80,0.48903927687183973,82.452,0.6354776779307595,78.39
81,0.46787294181411526,83.506,0.6284062062637715,78.56
82,0.4545641462211414,83.778,0.6645839055882224,77.52
83,0.4694670190286758,83.27,0.6373289084132714,78.5
84,0.43109558526512304,84.574,0.629956835055653,78.38
85,0.4442126501323012,84.17,0.5980861383148387,79.72
86,0.4332848306735763,84.4,0.6173586679410331,79.02
87,0.405436070183354,85.686,0.5825667090808289,80.43
88,0.4377041697654578,84.12,0.6029800474643707,79.44
89,0.4039194559502175,85.508,0.6234686057778853,79.21
90,0.4095430214462988,85.314,0.6170809853680527,79.06
91,0.3956543018522165,85.824,0.6195418027382863,79.16
92,0.37076943579232297,86.692,0.5936987560383881,79.67
93,0.4023383546363362,85.582,0.6137538540966904,79.48
94,0.3718597077195297,86.628,0.5992385654509822,79.71
95,0.3646168707657958,86.916,0.6185867597785177,79.62
96,0.36718650215574544,86.778,0.6189138127278678,79.81
97,0.34458340060375536,87.556,0.6210207614717604,80.21
98,0.3574946604268935,87.306,0.6352051341835456,79.08
99,0.33624480058774925,88.168,0.599958215710483,80.21
100,0.3274525536600586,88.174,0.6623595730413364,78.37
